date,Supplier,VendorStockNumber,Shape,Weight,Color,FancyColor,FancyColorIntensity,FancyColorOvertone,Clarity,MeasLength,MeasWidth,MeasDepth,Measurements,CutGrade,Lab,RapNet_List_Price,RapNet_Discount,Price_per_carat,Depth%,Table%,GirdleThin,GirdleThick,Girdle%,Culet Size,Culet condition,Polish,Symmetry,Fluorescence Intensity,Fluoresecnce Color,Crown Height,Crown Angle,Pavilion Depth,PavillionAngle,Treatment,LaserInscription,Comments,CertificateID,CertificateImage,DiamondImage,3DFile,MatchingVendorStockNumber,IsMatchedPairSeparable,CityLocation,StateLocation,CountryLocation,ParcelStoneCount,Status,usd,JPY,fee_%,fee_JPY,Value,ship_USD,ship_JPY,tax,Custom,import,FX,FX_Option,transfer,settle,Sales price,paypal,payment_by_card,yamato,AllCost,PS%,ring
2016/2/29,aarachminov,460431,BR,0.3,D,,,,IF,4.3,4.33,2.64,4.3-4.33x2.64,Excellent,GIA,3900,-21,3081,61.1,59,m,STK,0,n,,Excellent,Excellent,None,,,33.5,,41.4,,GIA 7218566684,,7218566684,,,,,,,,ISRAEL,1,M,924.3,105388,0.09,9484.92,114872.92,27.729,3161.66058,2107.77372,8852.594744,119510.029,2135.119764,485.2544918,300,122430.4033,131915,4788.94,132802,887.2307692,128106.5741,0.201091612,132802
2016/2/29,aarachminov,460434,BR,0.3,D,,,,VVS1,4.38,4.41,2.66,4.38-4.41x2.66,Excellent,GIA,3000,-19,2430,60.5,58,m,,0,n,,Excellent,Excellent,None,,,33,,41.4,,GIA 6211234497,,6211234497,,,,,,,,ISRAEL,1,M,729,83120,0.1,8312,91432,21.87,2493.6174,1662.4116,6982.08232,94258.11132,1683.978809,382.7224566,300,96624.81259,104936,3817.696,105823,887.2307692,97512.04335,0.207898147,105823
2016/2/29,aarachminov,315897,BR,0.3,D,,,,VS2,4.34,4.4,2.61,4.34-4.4x2.61,Good,GIA,2500,3,2575,59.7,57,vtn,STK,0,n,,Good,Fair,None,,,34,,40.6,,GIA 2155642306,,2155642306,,,,,,,,CHINA,1,G,772.5,88080,0.1,8808,96888,23.175,2642.4135,1761.609,7398.7218,99882.7443,1784.466317,405.5605267,300,102372.7711,111180,4042.48,112067,887.2307692,103260.0019,0.207771182,112067
2016/2/29,aarachminov,336300,BR,0.3,G,,,,VVS1,4.36,4.41,2.64,4.36-4.41x2.64,Excellent,GIA,2400,-27,1752,60.3,59,m,STK,0,n,,Very Good,Very Good,None,,,33.5,,41.2,,GIA 6147190209,,6147190209,,,,,,,,CHINA,1,G,525.6,59928,0.1,5992.8,65920.8,15.768,1797.86736,1198.57824,5033.955648,67958.40125,1214.118403,275.9360007,300,69748.45565,75741,2766.676,76628,887.2307692,70635.68642,0.20877728,76628
2016/2/29,aarachminov,430531,BR,0.3,E,,,,VVS2,4.3,4.32,2.67,4.3-4.32x2.67,Excellent,GIA,2500,-20,2000,61.8,57,m,STK,0,n,,Excellent,Excellent,None,,,34,,41.2,,GIA 6202308029,,6202308029,,,,,,,,ISRAEL,1,G,600,68412,0.1,6841.2,75253.2,18,2052.36,1368.24,5746.608,77579.208,1386,315,300,79580.208,86421,3151.156,87308,887.2307692,80467.43877,0.20838685,87308
2016/2/29,aarachminov,420926,BR,0.3,H,,,,VS1,4.34,4.35,2.63,4.34-4.35x2.63,Excellent,GIA,2100,-25,1575,60.6,60,m,STK,0,n,,Excellent,Excellent,None,,,32.5,,41.4,,GIA 1199177186,,1199177186,,,,,,,,CHINA,1,G,472.5,53874,0.1,5387.4,59261.4,14.175,1616.2335,1077.489,4525.4178,61093.1403,1091.466317,248.0605267,300,62732.66714,68120,2492.32,69007,887.2307692,63619.89791,0.209130945,69007
2016/2/29,aarachminov,350759,BR,0.3,D,,,,VS1,4.27,4.3,2.65,4.27-4.3x2.65,Very Good,GIA,2600,-27,1898,61.7,59,tn,STK,0,n,,Very Good,Excellent,None,,,36,,40.6,,GIA 1156934443,,1156934443,,,,,,,,CHINA,1,G,569.4,64922,0.1,6492.2,71414.2,17.082,1947.68964,1298.45976,5453.451952,73621.60135,1315.294937,298.9306674,300,75535.82696,82028,2993.008,82915,887.2307692,76423.05773,0.208538548,82915
2016/2/29,aarachminov,400654,BR,0.3,G,,,,VS2,4.42,4.43,2.61,4.42-4.43x2.61,Excellent,GIA,2100,-17,1743,59,61,tn,M,0,n,,Excellent,Excellent,None,,,32.5,,41.2,,GIA 1179875048,,1179875048,,,,,,,,CHINA,1,M,522.9,59621,0.1,5962.1,65583.1,15.687,1788.63174,1192.42116,5008.164232,67610.21713,1207.897881,274.5222457,300,69392.63726,75354,2752.744,76241,887.2307692,70279.86803,0.208787855,76241
2016/2/29,aarachminov,401155,BR,0.3,G,,,,SI2,4.25,4.29,2.71,4.25-4.29x2.71,Very Good,GIA,1800,-17,1494,63.5,55,tn,STK,0,n,,Very Good,Very Good,None,,,36.5,,41,,GIA 1169186222,,1169186222,,,,,,,,BELGIUM,1,G,448.2,51103,0.1,5110.3,56213.3,13.446,1533.11292,1022.07528,4292.655056,57950.84326,1035.327259,235.3016497,300,59521.47216,64631,2366.716,65518,887.2307692,60408.70293,0.209311321,65518
2016/2/29,aarachminov,405225,BR,0.3,D,,,,VS2,4.3,4.32,2.57,4.3-4.32x2.57,Very Good,GIA,2500,-27,1825,59.7,64,stk,TK,0,n,,Excellent,Excellent,None,,,33.5,,40.8,,GIA 2166505971,,2166505971,,,,,,,,CHINA,1,M,547.5,62425,0.1,6242.5,68667.5,16.425,1872.7785,1248.519,5243.7038,70790.0013,1264.70667,287.4333341,300,72642.1413,78884,2879.824,79771,887.2307692,73529.37207,0.208648142,79771
