id,date,color,clar,created_at,updated_at,weight2,price
362054,2016/6/30,M,VVS2,,,4,35832
362053,2016/6/30,M,VS2,,,4,27736
362052,2016/6/30,M,VS1,,,4,40069
362051,2016/6/30,M,SI1,,,4,26048
362050,2016/6/30,L,VS2,,,4,31360
362049,2016/6/30,L,VS1,,,4,31248
362048,2016/6/30,K,VVS2,,,4,44366
362047,2016/6/30,K,VS2,,,4,55924
362046,2016/6/30,K,VS1,,,4,61285
362045,2016/6/30,K,SI2,,,4,39309
362044,2016/6/30,K,SI1,,,4,56583
362043,2016/6/30,K,IF,,,4,61190
362042,2016/6/30,J,VVS2,,,4,85775
362041,2016/6/30,J,VVS1,,,4,62525
362040,2016/6/30,J,VS2,,,4,68508
362039,2016/6/30,J,VS1,,,4,74465
362038,2016/6/30,J,SI2,,,4,46768
362037,2016/6/30,J,SI1,,,4,53748
362036,2016/6/30,J,IF,,,4,63600
362035,2016/6/30,I,VVS2,,,4,100040
362034,2016/6/30,I,VVS1,,,4,119160
362033,2016/6/30,I,VS2,,,4,79978
362032,2016/6/30,I,VS1,,,4,80578
362031,2016/6/30,I,SI2,,,4,43025
362030,2016/6/30,I,SI1,,,4,68592
362029,2016/6/30,I,IF,,,4,105704
362028,2016/6/30,H,VVS2,,,4,99278
362027,2016/6/30,H,VVS1,,,4,141130
362026,2016/6/30,H,VS2,,,4,120034
362025,2016/6/30,H,VS1,,,4,99737
362024,2016/6/30,H,SI2,,,4,50305
362023,2016/6/30,H,SI1,,,4,72456
362022,2016/6/30,H,IF,,,4,142970
362021,2016/6/30,G,VVS2,,,4,122357
362020,2016/6/30,G,VVS1,,,4,127800
362019,2016/6/30,G,VS2,,,4,96272
362018,2016/6/30,G,VS1,,,4,132504
362017,2016/6/30,G,SI2,,,4,64365
362016,2016/6/30,G,SI1,,,4,74943
362015,2016/6/30,G,IF,,,4,122800
362014,2016/6/30,F,VVS2,,,4,219674
362013,2016/6/30,F,VVS1,,,4,197861
362012,2016/6/30,F,VS2,,,4,115472
362011,2016/6/30,F,VS1,,,4,174224
362010,2016/6/30,F,SI2,,,4,109716
362009,2016/6/30,F,SI1,,,4,93648
362008,2016/6/30,F,IF,,,4,295419
362007,2016/6/30,E,VVS2,,,4,226687
362006,2016/6/30,E,VVS1,,,4,266400
362005,2016/6/30,E,VS2,,,4,115767
362004,2016/6/30,E,VS1,,,4,179147
362003,2016/6/30,E,SI2,,,4,93600
362002,2016/6/30,E,SI1,,,4,137073
362001,2016/6/30,E,IF,,,4,325880
362000,2016/6/30,D,VVS2,,,4,320425
361999,2016/6/30,D,VVS1,,,4,327240
361998,2016/6/30,D,VS2,,,4,326710
361997,2016/6/30,D,VS1,,,4,250600
361996,2016/6/30,D,SI2,,,4,76800
361995,2016/6/30,D,IF,,,4,309079
337923,2016/6/30,M,VVS1,,,3,18690
337922,2016/6/30,M,VS2,,,3,16396
337921,2016/6/30,M,VS1,,,3,19188
337920,2016/6/30,M,SI2,,,3,12375
337919,2016/6/30,M,SI1,,,3,14333
337918,2016/6/30,M,IF,,,3,19084
337917,2016/6/30,L,VVS2,,,3,23409
337916,2016/6/30,L,VVS1,,,3,24960
337915,2016/6/30,L,VS2,,,3,21493
337914,2016/6/30,L,VS1,,,3,20309
337913,2016/6/30,L,SI2,,,3,16575
337912,2016/6/30,L,SI1,,,3,16134
337911,2016/6/30,L,IF,,,3,23850
337910,2016/6/30,K,VVS2,,,3,27973
337909,2016/6/30,K,VVS1,,,3,28685
337908,2016/6/30,K,VS2,,,3,24578
337907,2016/6/30,K,VS1,,,3,25277
337906,2016/6/30,K,SI2,,,3,19929
337905,2016/6/30,K,SI1,,,3,21322
337904,2016/6/30,K,IF,,,3,27314
337903,2016/6/30,J,VVS2,,,3,31732
337902,2016/6/30,J,VVS1,,,3,32877
337901,2016/6/30,J,VS2,,,3,30172
337900,2016/6/30,J,VS1,,,3,32470
337899,2016/6/30,J,SI2,,,3,22320
337898,2016/6/30,J,SI1,,,3,25474
337897,2016/6/30,J,IF,,,3,38115
337896,2016/6/30,I,VVS2,,,3,41140
337895,2016/6/30,I,VVS1,,,3,46506
337894,2016/6/30,I,VS2,,,3,35084
337893,2016/6/30,I,VS1,,,3,39966
337892,2016/6/30,I,SI2,,,3,24050
337891,2016/6/30,I,SI1,,,3,29229
337890,2016/6/30,I,IF,,,3,66480
337889,2016/6/30,H,VVS2,,,3,55933
337888,2016/6/30,H,VVS1,,,3,61106
337887,2016/6/30,H,VS2,,,3,43533
337886,2016/6/30,H,VS1,,,3,49833
337885,2016/6/30,H,SI2,,,3,27406
337884,2016/6/30,H,SI1,,,3,36227
337883,2016/6/30,H,IF,,,3,58344
337882,2016/6/30,G,VVS2,,,3,66825
337881,2016/6/30,G,VVS1,,,3,70077
337880,2016/6/30,G,VS2,,,3,50207
337879,2016/6/30,G,VS1,,,3,60002
